time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	6.94337e-310	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.716267	0.61579	6.75325	6.72384e-18	-1.38284e-17	radar	87.408	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15717	0.497204	6.75733	-0.125703	-0.0110753	lidar	0.26746	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26424	0.536252	6.72993	0.0858675	0.0219421	radar	1.88678	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61052	0.589013	6.74154	0.130906	0.0382485	lidar	0.231277	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.84974	0.562835	5.89671	0.0203209	-0.16704	radar	4.70572	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.15797	0.590617	5.89646	0.0370406	-0.122031	lidar	0.275174	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3739	0.638502	5.5415	0.0659907	-0.215209	radar	5.3719	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.64998	0.657716	5.54179	0.0584187	-0.204316	lidar	0.00576058	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91652	0.652487	5.48993	0.0156738	-0.345567	radar	0.335916	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15224	0.650916	5.44967	0.00395403	-0.328535	lidar	1.10732	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43842	0.548334	5.4825	-0.142341	-0.743012	radar	1.52413	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.7422	0.438883	5.54733	-0.260358	-0.974649	lidar	2.34691	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02208	0.51987	5.52354	-0.130287	-0.485037	radar	3.83393	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29628	0.512407	5.51141	-0.12433	-0.41216	lidar	0.296985	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55689	0.547274	5.44009	-0.0859111	-0.285702	radar	1.89896	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.74742	0.653474	5.29184	0.0138992	-0.0492197	lidar	12.4795	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.00013	0.651236	5.23171	0.00389227	-0.0654451	radar	2.04824	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.30132	0.648069	5.28195	-0.0036349	-0.0728807	lidar	2.4977	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.55914	0.655805	5.29566	0.00137905	-0.0567476	radar	1.64787	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.85291	0.671834	5.32915	0.00883389	-0.0395044	lidar	1.58168	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.09669	0.597755	5.27106	-0.0455911	-0.124671	radar	3.89571	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.35309	0.711134	5.24841	0.0288399	-0.00133544	lidar	3.85271	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.60428	0.742261	5.21174	0.0427086	0.0187206	radar	0.711523	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.85242	0.740996	5.19863	0.0366027	0.00885164	lidar	0.302941	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09729	0.724088	5.12989	0.0207236	-0.014634	radar	3.35003	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.31899	0.808059	5.08582	0.0644667	0.0447803	lidar	3.25382	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.60826	0.819565	5.16604	0.063567	0.0408677	radar	4.05127	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.85844	0.798658	5.15746	0.0461306	0.0162559	lidar	0.555917	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.10943	0.815984	5.11128	0.0490169	0.0179266	radar	2.53029	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
